date,kind,area,deposit,rent,floor,contract,renewal
2025-08-25,월세,84.9800,30000,800,7,신규,-
2025-08-29,전세,59.9600,155000,0,20,신규,-
2025-08-29,전세,133.9500,445000,0,23,신규,-
2025-08-30,월세,74.9200,150000,150,31,신규,-
2025-09-01,월세,84.9500,165000,160,7,신규,-
2025-09-02,전세,133.9100,310000,0,2,신규,-
2025-09-02,전세,116.9300,231000,0,4,신규,-
2025-09-02,전세,116.9700,353000,0,8,신규,-
2025-09-03,전세,59.9600,150000,0,18,신규,-
2025-09-03,월세,74.9700,140000,200,20,신규,-
2025-09-05,월세,84.9800,150000,240,11,신규,-
2025-09-05,전세,133.9100,470000,0,21,신규,-
2025-09-06,전세,59.9600,150000,0,10,신규,-
2025-09-06,월세,84.9500,150000,230,21,신규,-
2025-09-06,전세,133.9500,530000,0,24,신규,-
2025-09-06,전세,101.9900,255000,0,9,신규,-
2025-09-06,전세,84.9500,190000,0,4,신규,-
2025-09-06,전세,59.9600,150000,0,5,신규,-
2025-09-09,월세,101.9400,140000,560,10,신규,-
2025-09-09,월세,133.9100,250000,700,10,신규,-
2025-09-10,전세,101.9700,255000,0,29,신규,-
2025-09-10,월세,101.9400,30000,1000,2,신규,-
2025-09-10,월세,101.9400,50000,920,2,신규,-
2025-09-12,월세,84.9900,50000,520,21,신규,-
2025-09-13,월세,59.9600,30000,500,8,신규,-
2025-09-13,전세,59.9600,155000,0,20,신규,-
2025-09-15,전세,116.9500,320000,0,10,신규,-
2025-09-22,월세,74.9700,65000,500,6,신규,-
2025-09-26,전세,84.9800,190000,0,26,신규,-
2025-09-27,월세,59.9600,30000,480,22,신규,-
2025-09-29,전세,116.9300,320000,0,27,신규,-
2025-09-29,전세,84.9900,180000,0,31,신규,-
2025-09-30,전세,84.9300,150000,0,21,신규,-
2025-09-30,월세,74.9700,150000,200,18,신규,-
2025-10-01,월세,74.9200,70000,520,26,신규,-
2025-10-01,월세,59.9600,60000,360,12,신규,-
2025-10-02,전세,84.9600,200000,0,4,신규,-
2025-10-03,전세,133.9100,340000,0,31,신규,-
2025-10-03,전세,133.9100,340000,0,31,신규,-
2025-10-04,전세,84.9800,250000,0,5,신규,-
2025-10-04,전세,84.9800,190000,0,4,신규,-
2025-10-11,월세,116.9500,160000,520,20,신규,-
2025-10-12,전세,84.9800,225000,0,17,신규,-
2025-10-12,전세,84.9800,225000,0,17,신규,-
2025-10-12,월세,84.9800,100000,420,7,신규,-
2025-10-13,월세,101.9700,20000,920,6,신규,-
2025-10-13,전세,116.9500,300000,0,27,신규,-
2025-10-13,전세,116.9500,300000,0,27,신규,-
2025-10-14,전세,168.9500,600000,0,11,신규,-
2025-10-15,월세,74.9700,160000,80,10,신규,-
2025-10-15,월세,59.9600,40000,470,30,신규,-
2025-10-16,전세,84.9600,240000,0,12,신규,-
2025-10-16,월세,59.9600,50000,420,28,신규,-
2025-10-17,전세,84.9500,210000,0,13,신규,-
2025-10-17,월세,101.9400,30000,1000,2,신규,-
2025-10-18,전세,168.6500,550000,0,8,신규,-
2025-10-18,전세,84.9600,200000,0,17,신규,-
2025-10-18,전세,168.6500,550000,0,8,신규,-
2025-10-19,전세,101.9900,250000,0,10,신규,-
2025-10-19,전세,101.9900,250000,0,10,신규,-
2025-10-20,월세,133.9100,70000,1500,25,신규,-
2025-10-20,월세,84.9500,70000,560,2,신규,-
2025-10-21,월세,59.9600,120000,80,29,신규,-
2025-10-22,전세,84.9800,250000,0,15,신규,-
2025-10-24,전세,101.9900,255000,0,9,신규,-
2025-10-25,월세,59.9600,100000,280,32,신규,-
2025-10-25,월세,84.9900,80000,520,20,신규,-
2025-10-25,월세,84.9900,80000,520,20,신규,-
2025-10-26,월세,84.9800,20000,800,7,신규,-
2025-10-26,전세,84.9800,240000,0,13,신규,-
2025-10-27,월세,59.9600,70000,390,30,신규,-
2025-10-30,월세,59.9600,80000,300,11,신규,-
2025-10-30,전세,59.9600,145000,0,2,신규,-
2025-10-30,전세,185.9500,780000,0,34,신규,-
2025-10-30,월세,59.9600,110000,160,30,신규,-
2025-10-30,전세,185.9500,780000,0,34,신규,-
2025-11-01,월세,84.9500,100000,480,15,신규,-
2025-11-03,전세,74.9200,170000,0,6,신규,-
2025-11-03,월세,59.9600,31000,43,9,신규,-
2025-11-03,월세,59.9600,11200,109,3,신규,-
2025-11-03,전세,84.9800,160000,0,13,신규,-
2025-11-04,월세,84.9700,50000,800,32,신규,-
2025-11-04,월세,84.9900,170000,28,12,신규,-
2025-11-05,전세,133.9500,360000,0,30,신규,-
2025-11-06,전세,133.9100,430000,0,32,신규,-
2025-11-06,월세,59.9600,30000,48,3,신규,-
2025-11-07,월세,84.9900,40000,840,34,신규,-
2025-11-08,전세,101.9900,315000,0,11,신규,-
2025-11-08,월세,84.9900,107000,160,12,신규,-
2025-11-08,월세,84.9700,100000,540,30,신규,-
2025-11-09,월세,59.9600,13200,105,3,신규,-
2025-11-10,전세,84.9700,220000,0,33,신규,-
2025-11-11,전세,59.9600,165000,0,4,신규,-
2025-11-11,월세,59.9600,31000,43,11,신규,-
2025-11-11,월세,116.9500,100000,1200,32,신규,-
2025-11-11,전세,59.9600,165000,0,4,신규,-
2025-11-15,전세,116.9300,246750,0,28,신규,-
2025-11-15,월세,74.9200,130000,240,3,신규,-
2025-11-18,전세,84.9800,230000,0,9,신규,-
2025-11-20,월세,59.9600,120000,100,11,신규,-
2025-11-20,월세,59.9600,120000,100,11,신규,-
2025-11-21,전세,84.9300,235000,0,13,신규,-
2025-11-23,월세,84.9500,100000,400,15,신규,-
2025-11-25,월세,59.9600,30000,510,31,신규,-
2025-11-27,월세,84.9500,190000,200,30,신규,-
2025-11-29,월세,59.9600,70000,400,9,신규,-
2025-11-30,전세,84.9900,200000,0,2,신규,-
2025-11-30,월세,59.9600,35000,580,8,신규,-
